last_name,first_name,player_id,year,b_ab,batting_avg,slg_percent,on_base_percent,xba,xslg,xwoba,xobp,xiso,xwobacon,xbacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent
Pujols,Albert,405395,2019,491,0.244,0.43,0.305,0.251,0.428,0.319,0.314,0.178,0.331,0.29,88.3,12.5,5.8,36.6
Cabrera,Miguel,408234,2019,493,0.282,0.398,0.346,0.27,0.436,0.331,0.337,0.166,0.379,0.344,90.3,12.3,6.4,44.7
Mathis,Jeff,425772,2019,228,0.158,0.224,0.209,0.16,0.218,0.192,0.211,0.058,0.261,0.258,86.1,16.9,1.4,26.4
Choo,Shin-Soo,425783,2019,563,0.265,0.455,0.371,0.263,0.474,0.362,0.37,0.211,0.434,0.372,91.9,9.2,8.8,49
Molina,Yadier,425877,2019,419,0.27,0.399,0.312,0.271,0.435,0.322,0.317,0.164,0.345,0.315,87.4,13.9,3.8,35
Cano,Robinson,429664,2019,390,0.256,0.428,0.307,0.28,0.448,0.33,0.329,0.168,0.37,0.337,90.9,7.4,7.4,46.3
Encarnacion,Edwin,429665,2019,418,0.244,0.531,0.344,0.246,0.523,0.367,0.349,0.277,0.421,0.329,90.2,22.5,12.9,42.9
Jones,Adam,430945,2019,485,0.26,0.414,0.313,0.257,0.432,0.319,0.312,0.175,0.366,0.325,86.2,13.5,6.7,31
Martin,Russell,431145,2019,209,0.22,0.33,0.337,0.217,0.345,0.304,0.338,0.128,0.334,0.305,88.2,11.2,5.3,34
Granderson,Curtis,434158,2019,317,0.183,0.356,0.281,0.214,0.387,0.306,0.31,0.173,0.366,0.311,88.8,19.4,7.2,34.8
Morales,Kendrys,434778,2019,170,0.194,0.253,0.313,0.274,0.444,0.365,0.385,0.17,0.363,0.327,91.3,9.5,6.9,44.8
KendrickIII,Howie,435062,2019,334,0.344,0.572,0.395,0.332,0.614,0.418,0.388,0.282,0.461,0.389,91.7,10.8,11.4,48.3
Kinsler,Ian,435079,2019,258,0.217,0.368,0.278,0.206,0.304,0.254,0.268,0.098,0.273,0.26,84.3,17.3,1.5,23.4
McCann,Brian,435263,2019,277,0.249,0.412,0.323,0.237,0.4,0.313,0.318,0.162,0.333,0.293,88.8,11.4,5.7,35.2
Walker,Neil,435522,2019,337,0.261,0.395,0.344,0.267,0.429,0.339,0.351,0.162,0.383,0.348,86.2,11.7,6.5,31
Suzuki,Kurt,435559,2019,280,0.264,0.486,0.324,0.277,0.455,0.338,0.337,0.178,0.351,0.316,86,18.9,6.5,32.4
Desmond,Ian,435622,2019,443,0.255,0.479,0.309,0.27,0.481,0.34,0.324,0.211,0.427,0.367,90.9,8.7,10.4,42.5
CruzJr.,Nelson,443558,2019,454,0.311,0.639,0.392,0.29,0.637,0.415,0.377,0.347,0.535,0.409,93.7,13.1,19.9,51.5
Peralta,David,444482,2019,382,0.275,0.461,0.343,0.246,0.379,0.304,0.317,0.133,0.344,0.319,90.1,6.4,5.4,40.9
Pina,Manny,444489,2019,158,0.228,0.411,0.313,0.223,0.401,0.305,0.31,0.178,0.377,0.325,88.5,16.2,8.3,34.3
Jay,Jon,445055,2019,165,0.267,0.315,0.302,0.252,0.325,0.276,0.297,0.073,0.302,0.306,83.1,5.8,1.4,12.8
Prado,Martin,445988,2019,245,0.233,0.294,0.265,0.253,0.338,0.273,0.287,0.085,0.303,0.302,87,8.3,0.5,28.5
Duda,Lucas,446263,2019,105,0.171,0.324,0.252,0.222,0.452,0.312,0.297,0.23,0.389,0.311,91.5,22.5,12,45.3
Wieters,Matt,446308,2019,168,0.214,0.435,0.268,0.217,0.399,0.285,0.271,0.182,0.35,0.298,88.8,13.8,7.3,34.1
Longoria,Evan,446334,2019,453,0.254,0.437,0.325,0.269,0.491,0.351,0.34,0.222,0.416,0.354,89.7,14,7.5,40.8
Cozart,Zack,446359,2019,97,0.124,0.144,0.178,0.208,0.273,0.247,0.263,0.064,0.256,0.252,85.9,21.6,1.2,21.4
Rodriguez,Sean,446481,2019,112,0.223,0.375,0.338,0.2,0.332,0.303,0.332,0.132,0.357,0.317,88.3,13.5,5.3,36.8
Reynolds,Mark,448602,2019,135,0.17,0.311,0.29,0.166,0.296,0.272,0.292,0.13,0.338,0.289,88.9,17.5,6.2,37
Davis,Chris,448801,2019,307,0.179,0.326,0.276,0.202,0.369,0.292,0.298,0.166,0.433,0.368,89.1,14.1,10.5,39.2
Zobrist,Ben,450314,2019,150,0.26,0.313,0.358,0.244,0.317,0.303,0.345,0.073,0.287,0.287,85.8,5.3,0.8,23.4
Fowler,Dexter,451594,2019,487,0.238,0.409,0.345,0.25,0.421,0.34,0.357,0.172,0.397,0.351,85.5,12.9,7.4,28.7
Flowers,Tyler,452095,2019,271,0.229,0.413,0.319,0.196,0.38,0.289,0.291,0.184,0.387,0.317,90.1,11.1,11.3,41.1
Pence,Hunter,452254,2019,286,0.297,0.552,0.358,0.282,0.516,0.364,0.345,0.234,0.438,0.37,91.5,9.9,9.1,42.6
Cabrera,Asdrubal,452678,2019,447,0.26,0.441,0.342,0.238,0.408,0.317,0.326,0.17,0.349,0.307,89.1,14.4,5.7,35.3
Blackmon,Charlie,453568,2019,580,0.314,0.576,0.364,0.295,0.525,0.367,0.348,0.23,0.413,0.357,88.7,14.6,8.3,40.3
Frazier,Todd,453943,2019,447,0.251,0.443,0.329,0.234,0.408,0.313,0.315,0.174,0.353,0.308,88.3,17.1,7.3,38.3
Iannetta,Chris,455104,2019,144,0.222,0.417,0.311,0.229,0.415,0.314,0.32,0.186,0.434,0.368,92.1,8.7,14.3,51.6
Maldonado,Martin,455117,2019,333,0.213,0.378,0.291,0.212,0.384,0.295,0.295,0.172,0.338,0.289,88.1,12.7,7.6,34.6
Chirinos,Robinson,455139,2019,366,0.238,0.443,0.346,0.214,0.391,0.316,0.33,0.177,0.38,0.324,87,16.9,7.7,37
Markakis,Nick,455976,2019,414,0.285,0.42,0.356,0.298,0.43,0.35,0.372,0.131,0.361,0.347,91.2,7.3,3,44.3
Castillo,Welington,456078,2019,230,0.209,0.417,0.267,0.218,0.426,0.3,0.278,0.208,0.393,0.321,89.5,13.2,11.4,42.4
Nunez,Eduardo,456488,2019,167,0.228,0.305,0.241,0.239,0.311,0.247,0.256,0.072,0.283,0.285,88.1,5.9,1.4,33.3
Cain,Lorenzo,456715,2019,562,0.26,0.372,0.324,0.287,0.414,0.335,0.352,0.127,0.37,0.354,89.5,6.9,4.1,42.1
Solano,Donovan,456781,2019,215,0.33,0.456,0.36,0.315,0.45,0.343,0.347,0.136,0.421,0.405,87,14.5,4.2,43.1
McCutchen,Andrew,457705,2019,219,0.256,0.457,0.378,0.254,0.443,0.357,0.377,0.189,0.39,0.34,90.6,12.7,7.3,40.9
Upton,Justin,457708,2019,219,0.215,0.416,0.309,0.22,0.426,0.317,0.315,0.205,0.405,0.333,87.2,18.5,11.6,37
Maybin,Cameron,457727,2019,239,0.285,0.494,0.364,0.253,0.453,0.339,0.336,0.2,0.422,0.362,89.4,11.8,10.2,39.5
Turner,Justin,457759,2019,479,0.29,0.509,0.372,0.286,0.516,0.377,0.372,0.23,0.41,0.351,90.3,17.8,7.8,43
PoseyIII,Buster,457763,2019,405,0.257,0.368,0.319,0.248,0.408,0.31,0.312,0.16,0.333,0.3,88.6,9.1,4.8,36.3
Bruce,Jay,457803,2019,310,0.216,0.523,0.261,0.247,0.545,0.346,0.292,0.299,0.443,0.337,90.2,21.6,13.4,43.7
Votto,Joey,458015,2019,525,0.261,0.411,0.357,0.259,0.446,0.347,0.359,0.186,0.387,0.341,88.9,15.2,6.9,38.2
Gardner,Brett,458731,2019,491,0.251,0.503,0.325,0.233,0.367,0.298,0.312,0.134,0.325,0.299,87.7,13.9,3.9,32.6
Joyce,Matt,459964,2019,200,0.295,0.45,0.408,0.27,0.438,0.36,0.387,0.168,0.384,0.349,87.7,16.8,6.5,33.5
Braun,Ryan,460075,2019,459,0.285,0.505,0.341,0.266,0.47,0.339,0.328,0.204,0.399,0.345,91.5,7.3,9.5,45.3
Gordon,Alex,460086,2019,556,0.266,0.396,0.344,0.255,0.422,0.33,0.338,0.167,0.348,0.311,88.7,9.3,5.4,38.4
Andrus,Elvis,462101,2019,600,0.275,0.393,0.313,0.271,0.401,0.311,0.315,0.129,0.342,0.324,88.4,7.2,3.5,34.8
Cervelli,Francisco,465041,2019,141,0.213,0.348,0.3,0.204,0.348,0.285,0.294,0.144,0.327,0.287,86.9,12,5.9,31.7
Cabrera,Melky,466320,2019,378,0.28,0.399,0.312,0.278,0.379,0.298,0.311,0.101,0.317,0.313,88.2,8.9,2.1,33
Sandoval,Pablo,467055,2019,272,0.268,0.507,0.311,0.271,0.474,0.335,0.319,0.203,0.415,0.36,89.8,10.9,11.4,44.7
Ramos,Wilson,467092,2019,473,0.288,0.416,0.351,0.262,0.398,0.314,0.328,0.136,0.328,0.305,90,-0.1,4.7,42.5
Santana,Carlos,467793,2019,573,0.281,0.515,0.397,0.266,0.48,0.367,0.384,0.214,0.383,0.327,91.8,11.7,9.6,44.9
Parra,Gerardo,467827,2019,274,0.234,0.391,0.292,0.243,0.382,0.296,0.304,0.138,0.338,0.309,86.2,10.2,4.6,21.6
Gonzalez,Carlos,471865,2019,145,0.2,0.283,0.289,0.203,0.323,0.273,0.294,0.119,0.342,0.314,87.6,1.4,6.3,34.7
Mercer,Jordy,474568,2019,256,0.27,0.438,0.31,0.261,0.445,0.315,0.302,0.183,0.379,0.336,86.9,13.2,6.5,36.2
Belt,Brandon,474832,2019,526,0.234,0.403,0.339,0.242,0.457,0.346,0.349,0.214,0.385,0.32,87.3,22.4,8.7,35.7
Alonso,Yonder,475174,2019,292,0.199,0.346,0.296,0.231,0.374,0.305,0.325,0.143,0.334,0.304,88.1,14.1,5.4,39.3
Smoak,Justin,475253,2019,414,0.208,0.406,0.342,0.249,0.491,0.368,0.376,0.242,0.408,0.334,90.3,16.7,11,39.8
Zimmerman,Ryan,475582,2019,171,0.257,0.415,0.321,0.248,0.444,0.325,0.316,0.196,0.374,0.321,91.4,9.7,7.5,49.3
Avila,Alex,488671,2019,164,0.207,0.421,0.353,0.23,0.499,0.36,0.372,0.269,0.511,0.393,91.4,9.4,18.8,49
BrantleyJr.,Michael,488726,2019,575,0.311,0.503,0.372,0.293,0.473,0.357,0.36,0.18,0.368,0.333,88.8,10.6,5.5,37.3
Castro,Jason,488771,2019,237,0.232,0.435,0.331,0.246,0.517,0.363,0.346,0.271,0.496,0.391,91.8,14.4,17.2,47
Gurriel,Yuli,493329,2019,564,0.298,0.541,0.343,0.28,0.415,0.321,0.329,0.135,0.333,0.315,89.3,14.3,3.6,38.1
Beckham,Gordon,493596,2019,223,0.215,0.372,0.271,0.216,0.376,0.278,0.272,0.16,0.355,0.311,86.2,14.1,9,36.8
Rodriguez,Ronny,500135,2019,276,0.221,0.438,0.252,0.22,0.429,0.287,0.256,0.209,0.382,0.314,88.9,16.2,7.5,40.6
Rojas,Miguel,500743,2019,483,0.284,0.379,0.331,0.271,0.37,0.303,0.322,0.099,0.315,0.31,87.4,9.1,2.6,28.8
Escobar,Eduardo,500871,2019,636,0.269,0.511,0.32,0.254,0.464,0.326,0.31,0.209,0.372,0.318,87.8,18.4,7,31.4
Martinez,Jose,500874,2019,334,0.269,0.41,0.34,0.273,0.469,0.348,0.344,0.196,0.411,0.36,88.9,6.9,7.1,39.3
Adrianza,Ehire,501303,2019,202,0.272,0.416,0.343,0.265,0.392,0.325,0.347,0.127,0.348,0.328,86.6,14.9,3.6,28
Lagares,Juan,501571,2019,258,0.213,0.326,0.277,0.211,0.297,0.254,0.28,0.087,0.311,0.301,88.3,11.2,3.2,34.4
Freese,David,501896,2019,162,0.315,0.599,0.403,0.285,0.529,0.384,0.378,0.243,0.466,0.392,91.5,11,15.3,50.4
Davis,Khris,501981,2019,481,0.22,0.387,0.293,0.232,0.437,0.318,0.307,0.205,0.405,0.337,90.2,13.1,9.8,40.4
Pham,Tommy,502054,2019,567,0.273,0.45,0.369,0.27,0.455,0.354,0.366,0.185,0.39,0.345,90.9,5.2,7.9,45
Martinez,J.D.,502110,2019,575,0.304,0.557,0.382,0.301,0.567,0.396,0.384,0.266,0.476,0.398,91.3,12.5,11.8,47.9
Reddick,Josh,502210,2019,501,0.275,0.409,0.316,0.275,0.398,0.316,0.324,0.123,0.334,0.317,86.1,15.8,3.4,29.4
Freeman,Mike,502273,2019,177,0.277,0.39,0.352,0.214,0.296,0.277,0.31,0.082,0.328,0.318,85.6,8.9,2.4,27.8
Dyson,Jarrod,502481,2019,400,0.23,0.32,0.312,0.22,0.294,0.273,0.305,0.074,0.283,0.28,83.9,9.6,1.6,21.8
Murphy,Daniel,502517,2019,438,0.279,0.452,0.326,0.249,0.369,0.29,0.301,0.12,0.313,0.297,86.3,14.8,2.4,28.3
Goldschmidt,Paul,502671,2019,597,0.26,0.476,0.345,0.257,0.509,0.359,0.345,0.252,0.438,0.356,90.1,15.4,11.3,42.4
Gonzalez,Marwin,503556,2019,425,0.264,0.414,0.322,0.262,0.436,0.323,0.321,0.174,0.38,0.34,90.7,11,6.4,44
Leon,Sandy,506702,2019,172,0.192,0.297,0.246,0.17,0.244,0.223,0.236,0.074,0.254,0.24,85.3,21.5,1.5,25
Altuve,Jose,514888,2019,500,0.298,0.55,0.352,0.268,0.484,0.344,0.328,0.216,0.376,0.321,87.4,9.7,8.1,34.5
Hernandez,Cesar,514917,2019,612,0.279,0.408,0.333,0.264,0.375,0.302,0.32,0.111,0.325,0.314,86,9.5,2.7,28.3
Segura,Jean,516416,2019,576,0.28,0.42,0.322,0.27,0.401,0.31,0.314,0.131,0.327,0.308,88.2,7.2,3.2,32.7
Castro,Starlin,516770,2019,636,0.27,0.436,0.3,0.268,0.435,0.314,0.301,0.167,0.359,0.323,88.5,11,6.2,37.7
Marte,Starling,516782,2019,539,0.295,0.503,0.341,0.297,0.507,0.362,0.346,0.21,0.409,0.36,88.6,8.2,8,38.6
Culberson,Charlie,518586,2019,135,0.259,0.437,0.292,0.235,0.396,0.285,0.271,0.161,0.392,0.346,88.3,13.2,7.5,30.1
d'Arnaud,Travis,518595,2019,351,0.251,0.433,0.312,0.261,0.454,0.335,0.326,0.193,0.395,0.343,90,14.6,7.7,39.7
Descalso,Daniel,518614,2019,168,0.173,0.25,0.268,0.192,0.298,0.266,0.289,0.106,0.315,0.291,88.8,11.4,4.4,31
Dietrich,Derek,518618,2019,251,0.187,0.462,0.327,0.218,0.419,0.342,0.358,0.2,0.381,0.314,87.2,20.7,10.1,31.4
Donaldson,Josh,518626,2019,549,0.259,0.521,0.379,0.262,0.53,0.385,0.383,0.268,0.453,0.364,92.9,13.3,15.7,50.5
Freeman,Freddie,518692,2019,597,0.295,0.549,0.389,0.294,0.569,0.397,0.389,0.275,0.452,0.373,89.7,14.4,12.3,42.5
Grandal,Yasmani,518735,2019,513,0.246,0.468,0.38,0.241,0.475,0.366,0.379,0.234,0.405,0.331,90.7,14.2,11.3,41.8
Heyward,Jason,518792,2019,513,0.251,0.429,0.343,0.255,0.396,0.323,0.347,0.141,0.349,0.324,88.8,11.3,5.7,36.5
LeMahieu,DJ,518934,2019,602,0.327,0.518,0.374,0.314,0.522,0.376,0.364,0.208,0.412,0.369,91.9,6.5,7.5,48.5
Lucroy,Jonathan,518960,2019,293,0.232,0.355,0.305,0.238,0.367,0.299,0.314,0.129,0.312,0.289,86.9,12.5,2.9,32.5
Moreland,Mitch,519048,2019,298,0.252,0.507,0.328,0.256,0.494,0.352,0.334,0.238,0.415,0.341,90.8,10.1,11.5,45.6
Moustakas,Mike,519058,2019,523,0.254,0.516,0.329,0.26,0.503,0.35,0.334,0.243,0.388,0.319,89.5,17.4,10.3,40.8
Rizzo,Anthony,519203,2019,512,0.293,0.52,0.405,0.297,0.487,0.388,0.411,0.19,0.397,0.358,89,12.6,6.8,37
Romine,Austin,519222,2019,228,0.281,0.439,0.308,0.259,0.429,0.306,0.29,0.17,0.37,0.331,88.5,10.9,6.7,40.2
Sogard,Eric,519299,2019,396,0.29,0.457,0.351,0.267,0.376,0.31,0.334,0.108,0.325,0.317,85.7,19.3,2.1,20.4
Thames,Eric,519346,2019,396,0.247,0.505,0.346,0.222,0.429,0.324,0.327,0.206,0.42,0.346,90.9,19,8.9,44.2
Vogt,Stephen,519390,2019,255,0.263,0.49,0.314,0.251,0.485,0.33,0.305,0.234,0.406,0.333,89.8,22.4,10.4,41.1
Galvis,Freddy,520471,2019,557,0.26,0.438,0.295,0.235,0.384,0.28,0.273,0.149,0.351,0.318,88.8,14.7,5.5,36.4
Forsythe,Logan,523253,2019,317,0.227,0.353,0.324,0.234,0.401,0.32,0.332,0.167,0.386,0.34,89.2,12.3,5.5,40.1
Flores,Wilmer,527038,2019,265,0.317,0.487,0.361,0.285,0.436,0.331,0.332,0.151,0.345,0.321,87.4,16.4,5.1,30.6
Puello,Cesar,527049,2019,125,0.248,0.384,0.354,0.231,0.379,0.321,0.342,0.148,0.373,0.332,86.3,-3.5,6.8,26.1
Garcia,Avisail,541645,2019,489,0.282,0.464,0.332,0.271,0.492,0.343,0.323,0.221,0.426,0.363,89.5,9.8,11.7,40.3
Perez,Hernan,541650,2019,232,0.228,0.379,0.26,0.216,0.334,0.256,0.253,0.117,0.329,0.304,88.5,9.3,4.1,35.9
Inciarte,Ender,542255,2019,199,0.246,0.397,0.343,0.232,0.317,0.291,0.332,0.085,0.295,0.292,83,9.7,1.9,17.6
Ozuna,Marcell,542303,2019,485,0.241,0.472,0.328,0.284,0.532,0.378,0.367,0.248,0.444,0.372,91.8,13.5,12.1,49.2
Villar,Jonathan,542340,2019,642,0.274,0.453,0.338,0.246,0.412,0.315,0.315,0.165,0.381,0.338,88.9,8.2,6.8,37.1
Santana,Danny,542454,2019,474,0.283,0.534,0.323,0.277,0.504,0.345,0.32,0.226,0.473,0.403,91.4,13.5,9.5,43.6
Aguilar,Jesus,542583,2019,314,0.236,0.389,0.322,0.245,0.44,0.333,0.335,0.195,0.378,0.323,89.4,13.8,7.5,38.3
Beckham,Tim,542921,2019,304,0.237,0.461,0.293,0.219,0.42,0.297,0.277,0.201,0.404,0.333,87.2,10.8,8.4,33.8
Berti,Jon,542932,2019,256,0.273,0.406,0.348,0.258,0.379,0.317,0.337,0.121,0.38,0.362,86.9,5.2,3.8,38
Broxton,Keon,542979,2019,204,0.167,0.275,0.241,0.162,0.284,0.233,0.24,0.122,0.377,0.328,88.1,10.3,5.8,30.1
Crawford,Brandon,543063,2019,500,0.228,0.35,0.304,0.238,0.395,0.306,0.314,0.157,0.347,0.31,87.8,8.3,5.4,35.1
Cron,C.J.,543068,2019,458,0.253,0.469,0.311,0.274,0.548,0.366,0.331,0.274,0.443,0.358,91.1,12.8,15,45
Dickerson,Alex,543105,2019,174,0.276,0.489,0.332,0.269,0.477,0.347,0.329,0.208,0.419,0.358,89.9,16.3,9,43.6
Gomes,Yan,543228,2019,314,0.223,0.389,0.316,0.217,0.391,0.302,0.313,0.174,0.349,0.298,87.6,18.1,6.9,36.1
Grossman,Robbie,543257,2019,420,0.24,0.348,0.334,0.263,0.382,0.326,0.356,0.119,0.346,0.332,87.7,12.1,2.4,30.9
Harrison,Josh,543281,2019,137,0.175,0.263,0.218,0.236,0.401,0.289,0.276,0.165,0.33,0.291,86.3,19.6,5.4,29.5
Hicks,Aaron,543305,2019,221,0.235,0.443,0.325,0.203,0.374,0.295,0.302,0.171,0.358,0.303,89.7,13.6,9.2,37.1
Hicks,John,543308,2019,319,0.21,0.379,0.24,0.201,0.35,0.248,0.232,0.148,0.349,0.305,87.9,16.2,6.6,29.9
Hosmer,Eric,543333,2019,619,0.265,0.425,0.31,0.249,0.411,0.304,0.297,0.162,0.377,0.336,90.8,2.1,7.2,46
Kipnis,Jason,543401,2019,458,0.245,0.41,0.301,0.256,0.419,0.316,0.318,0.163,0.351,0.317,88.1,14.1,5.5,34.4
McCann,James,543510,2019,439,0.273,0.46,0.328,0.26,0.45,0.326,0.316,0.19,0.431,0.378,90.2,10.8,9.2,44.2
Miller,Brad,543543,2019,154,0.26,0.565,0.329,0.242,0.519,0.348,0.314,0.277,0.441,0.343,92.6,17.7,12.8,46.8
Nola,Austin,543592,2019,238,0.269,0.454,0.341,0.233,0.364,0.296,0.311,0.131,0.343,0.317,87.4,16.3,3.4,35.6
Rendon,Anthony,543685,2019,545,0.319,0.598,0.412,0.31,0.59,0.414,0.407,0.28,0.44,0.366,90.4,19.5,12,46.6
Semien,Marcus,543760,2019,657,0.285,0.522,0.369,0.272,0.495,0.363,0.359,0.224,0.378,0.322,88.9,14.9,8.5,38.1
Shaw,Travis,543768,2019,230,0.157,0.27,0.281,0.186,0.34,0.285,0.307,0.154,0.358,0.305,89.1,24.5,7.1,37.9
SpringerIII,George,543807,2019,479,0.292,0.591,0.383,0.283,0.578,0.4,0.379,0.295,0.468,0.373,89.8,10.5,14.1,44.8
Strange-Gordon,Dee,543829,2019,393,0.275,0.359,0.302,0.25,0.31,0.263,0.285,0.06,0.288,0.297,84.2,5.8,0,19
Vazquez,Christian,543877,2019,482,0.276,0.477,0.319,0.25,0.441,0.313,0.3,0.191,0.367,0.319,89.4,13.3,5.9,40.1
Wong,Kolten,543939,2019,478,0.285,0.423,0.357,0.242,0.349,0.297,0.326,0.108,0.304,0.292,86.1,12.6,2.2,25.4
Gregorius,Didi,544369,2019,324,0.238,0.441,0.276,0.238,0.392,0.287,0.279,0.154,0.319,0.286,88.2,17.9,5.5,35.8
Garcia,Leury,544725,2019,577,0.279,0.378,0.304,0.242,0.351,0.272,0.275,0.109,0.332,0.318,88.2,6.2,3.8,29.9
Vargas,Ildemaro,545121,2019,201,0.269,0.413,0.299,0.261,0.371,0.289,0.293,0.11,0.308,0.297,87.3,3.5,3.4,30.3
Grichuk,Randal,545341,2019,586,0.232,0.457,0.28,0.236,0.428,0.304,0.285,0.192,0.384,0.328,89.3,16,8.5,39.8
Marisnick,Jake,545350,2019,292,0.233,0.411,0.286,0.201,0.332,0.259,0.26,0.131,0.335,0.3,86.7,11.5,4,31.2
Stassi,Max,545358,2019,132,0.136,0.167,0.211,0.17,0.26,0.233,0.247,0.09,0.298,0.274,89.3,12.4,3.5,41
Trout,Mike,545361,2019,470,0.291,0.645,0.438,0.31,0.678,0.46,0.456,0.368,0.543,0.416,90.9,22.2,18.9,44.4
Herrera,Odubel,546318,2019,126,0.222,0.341,0.288,0.226,0.339,0.278,0.292,0.112,0.322,0.304,88,11,4.3,30.9
AlmoraJr.,Albert,546991,2019,339,0.236,0.381,0.267,0.254,0.385,0.285,0.288,0.131,0.329,0.308,86.3,8.5,4.6,27.5
Ruiz,Rio,547004,2019,370,0.232,0.376,0.305,0.23,0.355,0.292,0.305,0.125,0.326,0.302,88.4,11.3,2.8,36.5
Wolters,Tony,547172,2019,359,0.262,0.329,0.336,0.248,0.32,0.286,0.327,0.072,0.298,0.302,85.3,10.1,0,19.7
Harper,Bryce,547180,2019,573,0.26,0.51,0.372,0.273,0.547,0.387,0.384,0.274,0.488,0.394,91.9,13.7,14.8,45.6
Perez,Roberto,547379,2019,389,0.239,0.452,0.316,0.222,0.444,0.321,0.308,0.222,0.408,0.328,90.2,5.7,11,41.3
Martin,Leonys,547982,2019,236,0.199,0.343,0.273,0.182,0.334,0.262,0.262,0.152,0.325,0.275,87.3,16.9,6.2,27.3
Abreu,Jose,547989,2019,634,0.284,0.503,0.33,0.279,0.517,0.358,0.332,0.238,0.438,0.368,92.1,10.9,12.8,48.2
Diaz,Elias,553869,2019,303,0.241,0.307,0.295,0.238,0.325,0.277,0.297,0.086,0.297,0.293,88.1,9.2,2.4,34.3
Narvaez,Omar,553882,2019,428,0.278,0.46,0.353,0.259,0.429,0.33,0.338,0.169,0.367,0.33,85.5,17.9,5.3,28.1
Astudillo,Willians,553902,2019,190,0.268,0.379,0.299,0.285,0.417,0.319,0.322,0.133,0.312,0.299,85.8,15.3,2.7,31.3
Suarez,Eugenio,553993,2019,575,0.271,0.572,0.358,0.247,0.5,0.355,0.341,0.254,0.462,0.37,89.3,17.7,13.8,40.8
Polanco,Gregory,570256,2019,153,0.242,0.425,0.299,0.229,0.409,0.296,0.29,0.18,0.392,0.339,89.5,19.2,9.6,30.4
Santana,Domingo,570267,2019,451,0.253,0.441,0.327,0.25,0.478,0.342,0.329,0.228,0.478,0.397,89,11.3,12.1,42.1
Gonzalez,Erik,570481,2019,142,0.254,0.317,0.295,0.226,0.301,0.248,0.277,0.075,0.307,0.306,87.4,4.5,2.8,27.8
Urshela,Gio,570482,2019,442,0.314,0.534,0.355,0.285,0.497,0.348,0.329,0.212,0.405,0.353,90.6,13.6,7,41.8
Sanchez,Yolmer,570560,2019,496,0.252,0.321,0.314,0.23,0.315,0.274,0.299,0.084,0.305,0.301,87.1,14.2,1,27
Schoop,Jonathan,570731,2019,433,0.256,0.473,0.304,0.25,0.438,0.314,0.298,0.188,0.393,0.341,87.6,12.4,8.8,38.5
Adams,Matt,571431,2019,310,0.226,0.465,0.276,0.228,0.479,0.32,0.281,0.251,0.468,0.366,88.6,19.6,14.8,43.9
Arenado,Nolan,571448,2019,588,0.315,0.583,0.379,0.27,0.48,0.343,0.341,0.21,0.368,0.318,89.4,17.7,8,37.6
Barnhart,Tucker,571466,2019,316,0.231,0.38,0.327,0.219,0.326,0.284,0.321,0.106,0.318,0.301,86.4,11.8,3,27.9
Bour,Justin,571506,2019,151,0.172,0.364,0.259,0.193,0.383,0.287,0.279,0.19,0.366,0.295,89.3,10.4,11,42.9
Farmer,Kyle,571657,2019,183,0.23,0.41,0.279,0.23,0.403,0.29,0.282,0.173,0.394,0.343,85.4,17.1,5.6,29.7
Gennett,Scooter,571697,2019,133,0.226,0.323,0.245,0.203,0.296,0.229,0.227,0.093,0.31,0.294,86.3,13.2,2.1,25.5
Goodwin,Brian,571718,2019,413,0.262,0.47,0.325,0.231,0.405,0.303,0.302,0.174,0.388,0.338,87.6,18.4,6.3,33.3
Hamilton,Billy,571740,2019,316,0.218,0.275,0.286,0.22,0.261,0.252,0.293,0.04,0.29,0.306,80.7,15.2,0,7.3
Haniger,Mitch,571745,2019,246,0.22,0.463,0.314,0.227,0.453,0.331,0.325,0.226,0.421,0.342,88.4,17.9,11.4,40.9
Hernandez,Enrique,571771,2019,414,0.237,0.411,0.304,0.239,0.398,0.304,0.309,0.159,0.348,0.312,88.3,19.4,5.6,34.5
Holt,Brock,571788,2019,259,0.297,0.402,0.369,0.253,0.356,0.306,0.335,0.102,0.333,0.325,87.5,11.2,1.5,31
Lamb,Jake,571875,2019,187,0.193,0.353,0.323,0.233,0.435,0.347,0.362,0.202,0.396,0.334,90.7,14.2,8.2,42.5
Maile,Luke,571912,2019,119,0.151,0.235,0.202,0.212,0.332,0.259,0.262,0.12,0.32,0.294,84.7,13.2,4.5,28.4
Muncy,Max,571970,2019,487,0.251,0.515,0.374,0.261,0.51,0.38,0.384,0.249,0.458,0.375,89.8,14.5,12,43.4
Myers,Wil,571976,2019,435,0.239,0.418,0.32,0.23,0.429,0.319,0.313,0.2,0.447,0.375,90.2,12.2,11.2,41.4
Naquin,Tyler,571980,2019,274,0.288,0.467,0.323,0.272,0.468,0.327,0.311,0.196,0.405,0.356,90.8,12.6,9,38.9
Owings,Chris,572008,2019,180,0.139,0.233,0.209,0.174,0.29,0.237,0.241,0.116,0.346,0.307,86.9,8.5,6.9,31.4
Phegley,Josh,572033,2019,314,0.239,0.411,0.281,0.246,0.371,0.286,0.29,0.125,0.324,0.304,84.1,17.4,3.1,24.3
Piscotty,Stephen,572039,2019,357,0.249,0.412,0.308,0.248,0.431,0.318,0.31,0.183,0.373,0.325,89.2,12.5,7.6,41
